Employee ID,Employee Name,Age,Gender,Marital Status,Joining Date,Company Name,Region,Tenure (in years),Job Role,Department,Education Qualification,Experience (in years),Performance Rating,Project Contribution,Key Projects Handled,Salary (Annual),Promotions Received,Previous Layoffs Experience,Last Promotion Date,Working Hours Per Week,Manager Feedback,Disciplinary Issues,Certifications Attained,Absenteeism Rate,Last Performance Review Score,Projects Completed,Skills,Resignation Intentions,Training Attended,Overtime Hours,Distance from Office,Employment Type,Voluntary Exit,Employment Status,Layoff Status
150ed17e-6582-4497-a292-624d5ec508ec,Aayush Rama,42,Female,Single,10-04-2017,Wipro,North India,14.27862339,HR Manager,R&D,Master's Degree,8.332323614,3,8,Tempore exercitationem.,2548000,3,No,19-02-2020,59,Veritatis minima illum earum tempore atque.,4,5,0.43,79,2,"Research officer, trade union",No,2,7,4.51,Full-time,Yes,Employed,No
9a56d871-7212-4504-89d9-a18a36c861d9,Farhan Chandran,59,Female,Single,25-08-2020,Wipro,East India,5.120704474,HR Manager,Finance,PhD,23.73504943,4,4,Libero laboriosam.,2670000,1,Yes,06-08-2020,38,Distinctio officiis aspernatur quaerat dicta consequatur cum.,0,0,9.22,89,9,Architectural technologist,No,0,4,5.3,Full-time,No,Employed,No
df5c4831-5039-4e73-9a41-492ba1d90701,Drishya Doshi,59,Male,Divorced,08-08-2021,Wipro,West India,3.380283622,Network Engineer,Finance,Master's Degree,19.96025615,1,10,Nam debitis.,2354000,2,No,10-05-2024,43,Voluptas dolores aliquid labore.,4,0,1.87,86,6,Translator,No,4,24,28.77,Contract,No,Employed,No
e8a9e385-b755-4604-aa09-4c47432125e0,Ishaan Kurian,42,Female,Divorced,23-07-2022,Wipro,South India,10.0086914,Data Analyst,Finance,PhD,22.19029766,5,3,Commodi repudiandae voluptate.,2091000,2,Yes,28-07-2022,52,Temporibus molestias vero sapiente iure est.,4,4,5.75,95,9,"Therapist, speech and language",No,5,41,23.96,Full-time,Yes,Laid Off,No
55a6ea3c-1249-4156-bf29-e5fc86e7fa0e,Sana Chauhan,34,Female,Single,06-10-2020,Wipro,North India,2.672736385,Project Manager,Operations,Bachelor's Degree,25.14545789,2,1,Debitis consequuntur.,1466000,2,Yes,03-05-2024,56,Quod explicabo magnam atque.,5,4,7.17,75,7,Risk manager,No,0,12,14.74,Contract,Yes,Employed,Yes
c50d4093-3276-48f6-98f1-93d37aa10422,Rohan Kurian,35,Female,Divorced,15-02-2023,Wipro,West India,2.541216672,Database Administrator,HR,Diploma,6.344799249,3,3,Molestias illum.,1418000,0,Yes,06-09-2022,37,Accusantium facilis eligendi repudiandae.,0,1,5.82,81,5,Emergency planning/management officer,Yes,1,33,27.01,Contract,No,Employed,Yes
3798ed13-b29c-4c34-b22d-7ddf8e57b347,Adah Chakrabarti,52,Female,Single,21-04-2016,Wipro,South India,12.14853099,Project Manager,HR,Bachelor's Degree,14.06009721,2,3,Pariatur.,907000,3,No,09-07-2024,49,Sint dolore magni corporis vitae deserunt illum deleniti.,1,5,8.14,73,4,Air traffic controller,No,5,27,3.38,Full-time,No,Employed,Yes
ca222d05-32d6-4db8-a757-4dd037d4676a,Aradhya Mammen,27,Male,Single,24-04-2013,Wipro,East India,3.649461843,Data Analyst,Finance,Diploma,12.04263556,5,8,Voluptatem tempora.,2340000,2,No,26-07-2024,50,Sapiente harum iste possimus necessitatibus optio recusandae.,2,0,8.87,76,1,"Designer, multimedia",No,0,12,5.1,Part-time,Yes,Employed,No
1596792a-2f12-4a8a-ae5c-4f5c9d8f3771,Aaina Tailor,47,Female,Married,05-04-2024,Wipro,South India,5.504367034,Business Analyst,R&D,Master's Degree,29.11503606,5,8,Tempore animi vel.,2605000,0,No,15-09-2022,56,Ut impedit iure excepturi veritatis sunt.,3,1,4.59,82,10,Quantity surveyor,Yes,1,10,21.16,Full-time,No,Employed,No
9a2ed10b-46cd-4612-85ae-fb90a952b9c2,Miraan Grover,30,Male,Divorced,25-09-2014,Wipro,North India,5.76959497,Software Engineer,Marketing,Diploma,3.118214395,3,7,Expedita incidunt cumque atque.,1855000,1,No,18-05-2023,55,Eveniet repellendus commodi vel.,4,2,3.14,90,2,"Scientist, physiological",Yes,0,40,17.36,Part-time,Yes,Employed,No
6f267c04-98e1-4617-a90f-4de654f64aeb,Nitya Kalla,51,Male,Married,19-04-2024,Wipro,West India,4.63031863,Database Administrator,Operations,PhD,29.68229369,5,1,Quia debitis perspiciatis.,915000,1,No,02-04-2020,36,Sed consequatur quasi distinctio non voluptas quo.,0,3,8.64,79,3,Writer,Yes,1,2,28.6,Contract,Yes,Laid Off,Yes
952a2fb3-45a0-4f14-8469-6254a38e736f,Inaaya  Virk,59,Female,Divorced,24-01-2017,Wipro,South India,1.615283056,HR Manager,IT,Diploma,10.55829114,1,7,Deserunt odio.,1543000,2,Yes,16-05-2020,37,Veritatis voluptatem recusandae omnis.,2,4,0.91,80,4,"Therapist, drama",Yes,1,12,26.29,Full-time,Yes,Laid Off,No
43bb42ea-7f1b-4405-ace8-cd670148761b,Miraya Mander,46,Male,Single,12-12-2020,Wipro,South India,8.949505681,Software Engineer,HR,Master's Degree,13.64908079,1,1,Itaque distinctio blanditiis.,841000,0,Yes,14-10-2019,53,At porro quidem deserunt.,2,4,2.77,79,5,"Education officer, museum",Yes,3,44,9.07,Full-time,Yes,Employed,Yes
270baadc-2507-4747-b0f2-e71013a6e776,Vidur Agate,52,Male,Married,18-08-2018,Wipro,North India,9.257235327,HR Manager,Operations,Diploma,12.27775746,4,3,Corrupti corrupti.,1705000,2,No,14-02-2022,57,Ipsum sint ad accusantium ipsum reiciendis.,3,1,0.25,62,7,Immunologist,No,5,35,8.86,Full-time,No,Employed,Yes
1da41a12-7761-4a67-a00e-1cfcfd4cb3c3,Ryan Sama,25,Male,Single,29-11-2012,Wipro,South India,7.895319566,HR Manager,HR,Diploma,2.509283889,1,6,Officiis.,2984000,1,No,26-12-2021,51,Sequi eum maiores sunt consequuntur recusandae.,2,4,1.39,94,4,Radio producer,Yes,5,23,16.28,Contract,Yes,Employed,No
96e027c2-e574-4370-a3c1-e6112369ff8e,Nayantara Ganguly,48,Female,Married,09-12-2020,Wipro,West India,5.493420442,Network Engineer,IT,Bachelor's Degree,25.53487988,4,6,Hic velit saepe.,552000,1,Yes,11-07-2020,40,Vel in minima laborum.,0,5,1.21,88,4,Civil Service administrator,No,4,1,16.88,Part-time,No,Employed,No
